Country,Year,Region,Type,Energy consumption (in Exajoules)
Spain,1997,Europe ,Biofuel,0.0
Sweden,1997,Europe ,Biofuel,0.0
United Kingdom,1997,Europe ,Biofuel,0.0
Other Europe,1997,Europe ,Biofuel,0.0013485783460267682
CIS,1997,CIS,Biofuel,0.0
Middle East,1997,Middle East,Biofuel,0.0
Africa,1997,Africa,Biofuel,0.0
Australia,1997,Asia Pacific,Biofuel,0.0
China,1997,Asia Pacific,Biofuel,0.0
India,1997,Asia Pacific,Biofuel,0.0
Indonesia,1997,Asia Pacific,Biofuel,0.0
South Korea,1997,Asia Pacific,Biofuel,0.0
Thailand,1997,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1997,Asia Pacific,Biofuel,0.0
Canada,1998,North America,Biofuel,0.004446363636363636
Mexico,1998,North America,Biofuel,0.0
US,1998,North America,Biofuel,0.11179525252525252
Argentina,1998,S. & Cent. America,Biofuel,0.0
Brazil,1998,S. & Cent. America,Biofuel,0.28397729292282
Colombia,1998,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1998,S. & Cent. America,Biofuel,0.038873803000000005
Austria,1998,Europe ,Biofuel,0.0005613154055036174
Belgium,1998,Europe ,Biofuel,0.0
Finland,1998,Europe ,Biofuel,0.0
France,1998,Europe ,Biofuel,0.010531168222975413
Germany,1998,Europe ,Biofuel,0.003693777590918647
Italy,1998,Europe ,Biofuel,0.0
Netherlands,1998,Europe ,Biofuel,0.0
Poland,1998,Europe ,Biofuel,0.0
Portugal,1998,Europe ,Biofuel,0.0
Spain,1998,Europe ,Biofuel,0.0
Sweden,1998,Europe ,Biofuel,0.0
United Kingdom,1998,Europe ,Biofuel,0.0
Other Europe,1998,Europe ,Biofuel,0.0014674528428022034
CIS,1998,CIS,Biofuel,0.0
Middle East,1998,Middle East,Biofuel,0.0
Africa,1998,Africa,Biofuel,0.0
Australia,1998,Asia Pacific,Biofuel,0.0
China,1998,Asia Pacific,Biofuel,0.0
India,1998,Asia Pacific,Biofuel,0.0
Indonesia,1998,Asia Pacific,Biofuel,0.0
South Korea,1998,Asia Pacific,Biofuel,0.0
Thailand,1998,Asia Pacific,Biofuel,0.0
